city_code,manduc,gnwtea,mallar3,spbduc,hoopoe,comswi,bkhgul,spodov,ortdov,comkin1,rinphe1,commoo3,carcro1,labcro1,azwmag2,orimag1,litbun,origre,yebgro1,rerswa1,barswa,lotshr1,whiwag,magrob,taifly1,daured1,gretit4,martit2,eutspa,yebwar3,palwar5,livbul1,cremyn,whcsta1,chibla1,greegr,graher1,litegr,bcnher,grswoo,gyfwoo1,gycwoo1,grcgre1,litgre1,grecor
110101,3,0,13,2,32,61,0,106,4,1,1,1,14,72,114,114,0,44,61,10,37,0,1,0,22,7,6,25,109,23,28,70,42,71,85,2,2,1,7,61,19,24,1,2,0
110102,12,0,13,1,0,9,0,24,1,6,0,0,12,21,32,33,0,7,7,1,5,1,0,0,2,0,0,4,33,0,3,20,11,8,18,0,0,0,8,16,1,3,1,2,1
110105,43,5,204,5,64,94,0,201,7,48,20,55,21,51,226,279,24,99,42,31,98,1,26,0,43,18,28,72,266,51,71,210,33,118,171,2,100,2,44,122,87,55,0,160,1
110106,1,3,8,5,8,9,4,16,6,8,0,1,5,5,26,34,4,17,10,5,14,0,11,0,6,3,1,8,34,10,12,28,9,18,14,5,9,7,8,7,5,4,6,7,1
110107,1,0,4,0,0,0,1,4,1,2,1,2,2,1,9,9,2,7,2,2,4,0,0,0,1,3,4,0,6,4,1,4,0,0,0,0,0,0,0,1,1,2,3,4,0
110108,177,46,298,16,98,211,13,299,164,80,40,31,74,176,401,439,31,285,135,38,174,2,26,0,93,70,139,303,409,98,170,326,32,162,318,4,84,11,44,270,167,148,90,146,12
110109,3,0,6,0,2,0,2,1,3,1,17,0,1,23,0,22,2,6,0,0,0,0,8,0,0,24,20,9,5,2,6,6,0,0,0,0,1,0,1,10,2,5,0,0,0
110111,3,5,16,14,3,0,2,6,3,4,4,3,4,5,8,15,9,13,0,0,6,1,14,0,2,9,9,3,17,2,1,8,1,2,1,2,7,7,3,1,1,1,17,20,0
110112,14,14,47,14,24,7,0,27,22,10,16,12,6,3,42,53,12,27,11,14,28,0,28,0,13,5,11,15,53,13,16,40,1,36,9,14,27,20,22,12,18,16,2,33,0
110113,3,4,41,10,10,12,2,31,25,12,13,29,5,2,49,68,13,25,6,15,28,3,28,0,11,10,6,16,65,14,7,43,1,30,14,15,23,30,13,16,22,17,7,32,0
110114,13,105,288,40,146,51,81,139,22,82,53,81,102,49,156,292,101,180,16,100,204,1,142,0,45,57,43,26,270,54,76,190,67,91,78,118,305,187,82,92,72,49,125,208,182
110115,5,1,12,9,6,4,1,8,1,5,3,7,7,1,7,18,1,6,0,5,11,0,4,0,1,2,4,3,16,6,3,11,1,7,4,0,12,0,4,4,3,0,11,14,4
110116,4,3,11,9,2,4,5,11,23,4,13,1,15,23,27,51,5,39,3,1,11,0,24,0,5,33,31,36,46,7,9,35,1,16,2,6,8,9,5,17,24,15,10,9,3
110117,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,1,2,0,1,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
110118,2,4,9,8,2,0,6,4,3,2,10,2,3,6,5,15,6,8,1,1,5,0,7,0,0,6,7,7,12,2,2,8,0,3,2,3,9,5,0,7,7,3,5,5,5
110119,12,29,84,58,20,2,76,22,27,29,66,10,20,13,36,86,24,52,7,4,30,0,48,0,6,43,51,39,87,11,15,30,1,43,5,25,74,49,23,33,23,19,69,53,33
120000,3,3,30,39,36,15,29,71,24,11,23,22,3,1,40,122,12,18,11,24,82,10,30,0,15,21,7,5,107,26,42,98,24,34,7,10,6,19,31,14,1,0,15,30,1
130200,1,14,17,133,115,44,143,196,160,16,112,24,5,1,2,328,67,3,14,179,332,2,85,0,144,50,2,0,347,229,224,278,65,126,0,12,44,54,64,51,0,0,34,23,29
210200,1,1,29,0,5,0,1,30,4,9,12,0,0,0,6,47,0,29,9,1,27,0,7,0,8,8,37,0,43,18,13,44,4,1,1,1,2,1,1,7,1,0,0,5,0
310101,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,2,0,1,3,0,1,6,3,5,0,1,3,0,20,1,1,19,2,0,18,0,0,1,2,0,0,0,0,0,0
310104,1,5,1,1,3,0,0,159,3,10,0,1,0,0,155,16,0,9,44,0,12,48,46,83,0,3,120,0,143,36,21,170,26,13,180,0,1,25,31,1,0,0,0,5,0
310105,2,0,0,1,3,0,0,33,1,9,0,1,0,0,12,3,1,0,18,0,4,2,2,18,0,0,24,0,29,11,7,34,1,3,35,0,0,3,13,0,0,0,0,2,0
310106,0,0,0,1,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,5,0,0,3,1,1,3,0,0,1,2,0,0,0,0,2,0
310107,0,0,0,0,1,0,0,8,0,2,0,0,0,0,8,2,0,0,3,0,1,2,2,5,0,1,8,0,10,1,4,10,4,1,9,0,0,1,4,0,0,0,0,0,0
310109,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,2,0,0,1,0,3,1,0,7,1,0,5,0,0,1,1,0,0,0,0,0,0
310110,0,0,0,0,7,0,1,17,2,6,0,4,0,0,14,4,0,1,6,0,0,14,7,5,0,2,12,0,14,1,5,19,6,7,19,0,0,10,10,0,0,0,0,11,0
310112,0,0,0,0,1,0,0,34,2,5,0,8,0,1,12,11,0,1,7,0,9,24,6,2,0,2,21,0,26,4,13,35,7,2,32,0,0,27,18,0,0,0,0,4,0
310113,0,0,1,1,1,0,0,19,1,3,1,11,0,0,1,14,0,0,6,0,10,18,7,5,0,2,12,0,9,5,3,19,5,2,20,0,1,16,14,1,0,0,0,5,0
310114,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,1,0,0,2,2,0,0,1,3,0,2,0,0,3,0,0,3,0,0,0,2,0,0,0,0,1,0
310115,1,3,5,6,31,0,3,163,24,29,17,111,0,0,97,29,13,6,86,3,43,141,97,11,1,22,80,0,144,31,22,191,74,80,156,19,20,114,112,28,0,0,6,99,3
310116,0,0,0,0,0,0,1,12,9,0,4,1,0,0,0,8,0,1,8,3,6,11,4,1,0,1,10,0,8,3,1,10,0,1,9,2,4,7,4,0,0,0,0,5,1
310117,0,0,1,0,0,0,0,41,6,7,4,16,0,0,1,12,0,8,12,1,13,23,18,15,0,3,30,0,23,10,11,45,17,10,43,0,0,14,14,0,0,0,0,10,0
310118,0,1,0,1,6,0,23,62,4,7,3,57,0,0,0,54,0,31,19,2,50,52,54,51,0,7,57,0,58,1,13,62,41,2,64,1,1,49,30,0,0,0,0,58,2
310120,0,0,0,0,3,0,0,13,2,4,6,9,0,0,1,10,0,3,4,0,14,17,8,3,0,2,6,0,12,0,0,16,15,3,14,1,1,11,9,0,0,0,0,3,0
310151,0,8,1,10,3,0,1,24,2,9,12,19,0,0,0,28,5,3,14,0,26,22,12,1,0,8,0,0,35,4,4,28,24,14,13,14,14,27,12,0,0,0,9,19,5
320100,0,0,4,6,2,0,0,22,34,4,4,14,0,0,38,39,0,7,6,7,12,5,14,11,0,1,37,0,32,1,0,54,20,23,48,0,0,12,10,13,9,18,2,16,0
320200,0,3,5,42,10,0,11,84,44,13,34,68,0,5,18,77,1,15,49,19,41,73,27,19,0,20,70,0,53,22,27,91,69,27,86,3,5,60,58,11,0,0,14,65,5
320500,0,1,1,2,9,0,1,52,11,3,11,26,0,0,14,38,3,11,12,3,28,35,24,13,0,13,31,0,39,2,9,55,42,23,50,5,5,38,26,1,0,0,5,20,0
320600,0,2,0,1,16,0,1,19,13,2,29,6,0,0,20,21,5,1,23,5,22,25,16,1,5,1,16,0,27,17,5,31,9,20,18,5,8,25,11,11,3,2,2,12,0
330100,7,7,19,45,2,0,1,104,12,29,20,60,0,17,1,66,3,13,18,22,81,32,60,80,0,21,93,0,85,19,9,129,43,7,112,7,17,59,54,6,1,1,4,55,2
330200,0,0,0,0,0,0,0,4,2,2,1,0,0,0,0,0,0,5,0,3,4,2,6,2,0,0,5,0,3,2,1,6,2,0,3,1,0,1,2,0,0,0,0,0,0
350100,0,0,0,2,0,0,0,13,3,2,0,3,0,0,0,2,0,2,0,0,16,4,5,11,0,1,8,0,15,2,3,21,10,1,8,3,0,7,10,0,0,1,0,2,0
361100,3,0,0,19,0,0,0,40,39,20,5,11,0,0,0,2,1,0,0,42,47,23,44,34,1,2,42,0,52,1,1,45,41,5,35,3,1,27,9,5,4,10,1,12,1
370200,0,4,3,6,7,2,2,10,8,5,7,6,0,0,10,23,6,9,9,9,17,2,8,0,0,7,6,0,15,7,8,16,5,6,8,2,5,6,3,0,0,0,4,10,0
420100,0,0,5,2,10,0,1,31,21,11,5,14,0,0,30,21,1,11,18,8,18,10,12,17,0,3,16,0,26,10,8,30,12,3,30,0,0,4,9,0,2,2,3,12,1
440100,0,1,6,6,0,0,1,89,3,39,1,24,0,5,1,7,2,9,11,9,69,27,59,97,2,9,98,0,38,15,9,116,40,2,108,6,8,21,19,0,1,1,0,10,4
440300,0,7,4,1,0,0,4,40,3,19,0,11,0,13,1,19,0,2,0,3,37,11,40,51,1,2,37,0,28,1,3,56,28,5,19,21,11,33,13,0,0,0,0,8,4
440700,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,1,3,4,0,1,4,0,1,1,1,5,1,0,1,1,0,1,0,0,0,0,0,2,0
441900,0,0,1,0,0,0,0,17,1,10,0,5,0,6,0,2,0,3,0,2,14,8,11,18,0,3,11,0,5,2,1,28,7,0,17,0,1,8,3,0,0,0,0,8,0
442000,0,0,0,0,0,0,0,4,1,2,0,1,0,2,0,7,6,0,0,7,13,4,9,3,0,0,1,0,9,1,0,10,7,2,2,2,1,10,0,0,0,0,0,1,0
510100,0,2,14,9,7,2,0,94,4,26,1,20,2,2,2,12,9,58,45,31,76,35,67,65,2,12,16,0,105,2,10,131,48,16,99,3,31,78,54,0,4,0,0,31,0
520100,0,3,1,18,0,0,3,52,17,13,17,21,0,0,1,56,9,63,2,57,52,18,48,48,15,74,55,0,83,29,14,22,25,2,19,3,41,56,4,0,1,0,1,24,0
530100,0,0,3,0,13,0,22,86,3,5,0,20,0,2,51,5,9,0,4,0,47,14,91,92,30,13,2,0,113,62,82,2,29,6,24,0,19,22,6,2,3,5,1,15,0
620100,0,0,4,4,4,1,0,12,0,0,4,0,0,0,9,8,0,2,0,0,7,0,6,0,0,4,1,0,17,0,0,5,3,8,4,0,0,0,0,2,1,1,0,0,0
630100,3,17,21,27,3,7,2,1,4,3,36,5,14,3,22,8,6,58,0,2,11,0,54,0,4,36,75,0,82,0,0,0,2,10,0,12,3,0,0,22,20,0,9,10,11
