city_code,eurspa1,manduc,mallar3,spbduc,rudshe,hoopoe,comswi,bkhgul,bkwsti,spodov,ortdov,comkin1,indcuc1,eurkes,rinphe1,eurcoo,commoo3,lottit5,carcro1,labcro1,azwmag2,orimag1,litbun,bkfbun1,origre,yebgro1,brambl,rerswa1,barswa,lotshr1,olbpip,whiwag,magrob,taifly1,daured1,gretit4,yebtit4,martit2,eutspa,duswar,yebwar3,palwar5,livbul1,cremyn,whcsta1,chibla1,greegr,graher1,chpher1,litegr,bcnher,grswoo,gyfwoo1,gycwoo1,grcgre1,litgre1,grecor
110101,9,6,17,2,3,32,66,0,2,136,3,2,17,7,1,1,2,20,10,112,132,136,4,2,56,61,17,3,60,1,5,2,0,34,17,5,12,56,138,15,45,47,112,51,86,110,3,8,1,2,6,80,25,27,1,4,0
110102,0,2,4,0,1,0,4,0,0,13,0,0,0,1,0,0,0,0,4,6,12,11,0,0,1,1,1,0,6,0,0,0,0,0,1,2,0,0,14,2,2,3,11,2,8,7,0,1,1,0,1,5,1,0,0,1,0
110105,20,45,160,1,2,53,74,0,1,185,19,30,25,23,7,10,73,52,27,52,189,212,17,17,127,29,37,19,85,1,21,16,0,29,21,38,19,106,207,19,52,55,184,22,133,178,3,113,7,3,39,110,94,51,2,128,27
110106,2,0,15,11,0,13,12,3,5,28,15,12,5,4,7,14,10,5,6,8,38,49,9,1,32,12,10,6,22,0,6,10,0,8,3,7,5,11,45,10,14,16,41,8,20,15,6,20,2,13,15,12,7,12,19,23,10
110107,0,0,4,0,0,0,0,0,0,4,0,1,1,0,0,1,1,0,1,2,10,11,2,0,8,2,3,1,4,0,1,1,0,1,3,4,1,0,7,0,3,0,4,0,0,1,0,1,0,0,0,3,1,2,2,5,0
110108,57,139,187,4,12,30,127,3,2,183,126,40,40,31,32,36,54,85,53,114,208,232,33,11,152,57,54,39,120,0,41,32,0,60,53,99,23,188,213,35,69,93,180,14,109,159,5,110,12,10,48,143,100,65,72,105,44
110109,0,3,7,0,0,1,2,0,0,5,4,2,1,1,12,5,3,10,3,14,2,16,4,0,9,1,5,2,2,0,4,6,0,0,19,14,12,8,9,3,5,8,11,1,1,1,1,5,0,1,2,4,1,6,2,8,2
110111,3,2,21,19,3,7,1,1,10,7,9,9,3,9,8,23,12,4,0,5,15,22,13,7,18,0,1,7,18,2,4,19,0,3,9,10,0,3,20,4,5,3,15,1,9,2,4,8,2,15,6,2,3,1,20,25,1
110112,2,15,44,15,5,22,19,0,5,41,32,15,22,14,19,13,20,3,8,8,54,65,13,6,37,10,3,19,34,1,13,30,0,13,7,15,6,22,66,13,13,17,50,6,42,22,14,27,9,21,22,20,26,25,7,37,3
110113,14,8,47,13,17,10,8,4,16,30,25,16,10,5,13,34,27,5,9,2,39,54,9,3,21,5,5,7,20,3,4,29,0,2,9,2,1,18,53,4,8,6,35,1,23,14,19,36,9,34,10,9,24,9,19,34,6
110114,61,13,370,46,185,205,75,83,157,226,78,95,52,67,50,156,190,44,123,115,284,395,160,50,271,37,91,157,280,34,83,160,0,77,82,74,60,167,358,92,108,133,285,122,189,188,135,406,59,226,100,187,182,98,209,326,273
110115,1,0,8,3,0,6,3,1,1,4,4,0,1,0,2,1,5,0,2,0,9,12,3,0,4,1,0,2,4,0,2,4,0,3,1,4,0,1,11,1,2,2,6,0,6,4,0,8,0,1,2,5,4,2,5,8,2
110116,7,3,12,7,1,4,1,0,0,29,20,15,5,16,26,1,1,14,2,44,23,54,6,1,40,3,12,0,2,0,4,23,0,4,29,37,5,39,33,4,8,8,43,0,20,28,0,12,0,1,0,27,14,25,1,3,6
110117,0,0,1,1,0,0,0,0,0,1,3,0,0,1,2,0,0,0,0,1,0,4,1,0,2,0,1,2,4,0,0,2,0,0,3,3,0,3,4,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,2
110118,15,3,32,32,10,5,9,12,11,9,19,8,0,16,33,15,10,6,7,14,21,36,17,5,30,7,7,15,23,1,6,28,0,0,14,24,3,29,36,6,7,6,26,0,11,6,16,30,6,19,5,14,25,16,19,23,22
110119,12,6,44,30,24,14,1,41,16,17,18,16,3,8,31,29,4,15,15,8,29,46,9,2,22,2,7,3,16,0,3,18,0,4,21,26,5,22,44,0,10,10,11,0,13,6,13,38,2,12,4,18,13,13,35,23,23
