city_code,manduc,gnwtea,mallar3,spbduc,hoopoe,comswi,bkhgul,bkwsti,spodov,ortdov,comkin1,indcuc1,rinphe1,eurcoo,commoo3,lottit5,carcro1,labcro1,azwmag2,orimag1,litbun,origre,yebgro1,brambl,rerswa1,barswa,lotshr1,olbpip,whiwag,magrob,taifly1,daured1,gretit4,martit2,eutspa,duswar,yebwar3,palwar5,livbul1,cremyn,whcsta1,vitpar1,chibla1,swiwhe1,greegr,graher1,chpher1,litegr,bcnher,grswoo,gyfwoo1,gycwoo1,grcgre1,litgre1,grecor
110101,27,0,40,2,63,85,0,3,184,8,5,23,1,2,3,33,20,141,192,199,3,86,85,22,11,72,0,17,2,0,57,9,12,75,185,19,66,54,137,73,124,0,178,3,2,13,2,2,11,108,43,38,1,19,2
110102,7,0,11,0,0,9,0,0,34,1,0,0,0,1,1,1,2,13,30,29,0,7,11,5,1,11,0,2,0,0,5,2,0,8,33,3,12,9,27,2,15,0,27,1,0,2,0,0,2,8,2,5,0,8,1
110105,77,9,196,2,45,84,1,1,217,19,37,38,5,58,83,60,30,67,215,239,29,160,63,55,27,106,1,25,21,0,57,22,34,114,222,34,71,67,208,26,166,77,194,5,3,130,8,5,52,123,100,63,6,147,30
110106,1,29,34,24,12,13,20,15,31,24,11,5,8,21,6,18,19,8,46,68,16,45,11,25,7,29,2,4,32,0,8,16,24,23,62,5,10,18,43,9,25,17,25,5,13,41,4,15,7,22,11,18,37,34,31
110107,0,0,3,0,0,0,0,0,4,0,1,1,1,0,1,1,1,2,9,10,1,5,2,2,1,4,0,0,0,0,1,2,4,0,6,0,3,0,4,0,1,1,0,1,0,0,0,0,0,1,0,2,2,3,0
110108,187,17,260,4,27,133,6,1,225,142,60,64,26,53,75,117,77,144,271,301,28,174,76,90,51,142,0,29,30,0,60,64,112,215,266,38,64,83,233,25,128,63,199,3,4,128,23,18,60,164,125,83,92,155,79
110109,4,0,6,0,1,0,0,0,0,3,0,1,17,1,1,15,4,23,0,21,3,5,0,6,0,1,0,4,3,0,0,22,21,11,11,2,5,10,8,0,0,9,2,8,0,2,0,0,1,11,6,8,0,1,0
110111,3,3,16,12,3,0,1,3,6,8,5,2,5,17,5,7,2,5,10,16,12,14,0,1,2,8,2,2,13,0,3,9,10,6,18,2,3,1,12,1,6,10,1,1,0,11,1,7,3,1,4,3,15,16,1
110112,13,12,47,18,17,12,1,5,32,31,13,16,17,13,20,2,6,3,42,54,16,31,11,7,15,31,0,10,29,0,11,9,16,23,52,11,13,16,40,1,36,28,12,4,10,29,7,18,18,16,21,21,7,37,3
110113,3,20,88,57,18,18,7,50,43,54,19,22,42,60,33,15,18,1,74,99,33,59,23,17,33,65,5,19,70,0,10,20,29,52,95,13,21,14,73,1,52,50,24,6,38,59,12,71,14,23,44,20,52,62,34
110114,12,198,408,53,133,52,97,169,249,113,121,69,66,203,218,68,161,96,329,446,149,324,68,132,140,292,26,79,173,0,75,110,116,217,404,84,101,131,319,103,185,271,183,25,168,442,59,244,83,192,178,123,260,366,325
110115,0,6,16,13,2,4,1,3,9,9,6,3,6,9,14,2,2,3,15,18,5,13,1,3,3,15,0,2,6,0,4,2,5,3,18,3,6,9,13,3,11,9,7,1,1,16,1,1,3,9,5,6,12,16,3
110116,2,3,9,5,1,1,0,1,6,4,5,2,8,8,5,8,0,14,1,14,3,10,3,4,4,7,0,0,9,0,1,10,13,12,9,1,4,2,10,0,3,12,3,2,3,2,1,6,1,6,6,6,4,7,2
110117,0,2,3,1,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,6,1,3,0,1,3,4,0,0,4,0,0,4,4,4,6,0,1,1,4,0,0,2,0,0,0,2,0,0,0,0,1,0,4,3,2
110118,2,3,16,11,2,1,4,5,8,7,5,2,23,2,2,15,8,12,8,24,13,17,3,6,7,10,1,3,16,0,4,10,21,14,20,1,5,3,14,0,5,22,2,1,4,15,5,7,0,13,9,6,6,8,11
110119,10,17,57,29,14,2,45,21,20,26,17,10,41,35,7,20,17,10,33,50,19,31,7,5,4,18,1,4,21,0,6,22,33,34,49,5,9,11,17,0,27,25,7,0,21,44,2,20,4,26,22,17,41,24,24
120000,2,25,84,129,42,54,63,80,189,77,21,5,81,88,40,21,8,9,137,254,54,65,24,33,28,161,10,13,56,0,35,42,20,9,251,17,57,64,192,35,115,89,63,8,28,43,18,57,63,45,5,29,72,89,39
130200,0,0,7,56,29,14,30,48,57,49,1,3,34,9,8,1,2,2,23,74,16,1,4,5,45,88,1,13,9,0,37,4,3,0,87,32,48,38,78,6,43,22,0,13,7,20,13,8,13,12,2,0,6,10,5
210200,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7,0,1,0,2,0,0,0,0,0,0,0,0,4,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
310101,0,0,0,0,3,0,0,0,15,0,1,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,3,0,0,8,0,0,3,0,13,0,1,0,17,3,2,2,11,2,0,0,1,1,2,0,0,0,0,0,0
310104,0,0,0,0,3,0,0,0,48,3,4,0,0,0,4,0,0,0,46,16,0,8,26,0,0,9,23,2,15,29,0,1,31,0,38,0,19,14,53,14,14,10,52,12,0,4,0,18,17,0,0,0,0,8,0
310105,1,0,1,1,1,0,0,0,19,4,4,0,0,2,8,4,0,0,15,6,0,0,14,1,0,6,12,3,6,23,1,1,17,0,20,0,3,5,25,5,10,11,26,9,0,0,0,12,16,0,0,0,0,10,0
310106,0,0,0,2,0,0,0,0,11,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,6,0,4,8,0,0,1,0,8,0,1,0,12,4,3,3,12,4,0,0,0,7,8,0,0,0,0,5,0
310107,0,0,0,0,1,0,0,0,11,0,1,0,0,0,3,2,0,0,9,5,0,2,1,0,0,2,7,1,4,8,0,1,6,0,8,0,1,1,13,6,5,3,13,4,0,0,1,5,7,0,0,0,0,4,0
310109,0,0,0,0,0,0,0,0,9,0,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,1,0,0,0,7,0,0,3,0,7,0,1,0,13,0,0,1,10,1,0,0,0,2,1,0,0,0,0,4,0
310110,0,0,0,0,6,0,1,0,17,1,5,1,0,0,3,0,0,0,14,7,0,4,6,0,0,3,12,2,6,12,0,3,15,0,14,0,2,6,24,5,2,10,20,3,0,3,0,15,8,0,0,0,0,9,0
310112,0,0,0,0,6,0,0,0,51,2,10,1,1,0,13,0,0,1,17,29,0,2,18,0,0,11,39,3,22,33,0,3,27,0,32,0,11,5,58,8,13,17,58,20,0,0,1,23,20,0,0,0,0,8,0
310113,0,0,0,3,5,0,1,1,33,15,9,0,4,2,18,5,0,0,2,20,1,0,7,8,0,14,34,7,14,20,0,13,20,0,20,0,4,8,39,13,7,21,35,17,1,13,1,30,13,0,0,0,0,12,9
310114,0,0,0,0,1,0,0,0,7,5,1,0,0,0,1,2,0,0,1,8,0,0,3,0,0,0,7,3,3,5,0,1,7,0,3,0,3,3,9,3,2,3,9,1,0,0,1,6,5,3,0,0,0,4,0
310115,7,20,22,19,75,0,3,7,208,81,40,30,18,62,156,5,0,0,99,107,3,17,99,4,8,56,152,29,88,105,1,30,102,0,133,3,25,18,210,109,92,47,207,35,28,39,33,144,125,13,0,13,11,159,18
310116,0,0,0,0,1,0,0,0,3,1,0,0,2,0,0,0,0,0,0,2,0,1,4,0,0,1,3,1,3,0,0,0,2,0,2,0,0,1,2,3,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0
310117,1,1,3,3,5,0,0,2,53,23,5,1,3,1,9,3,0,0,1,33,3,34,5,2,1,14,25,7,15,28,0,9,38,0,35,0,8,11,63,18,11,26,55,36,4,4,2,20,14,0,0,0,0,6,1
310118,0,2,0,5,6,0,20,0,60,4,7,0,3,4,57,0,0,0,1,51,0,30,20,1,3,45,49,35,50,51,0,8,51,0,57,0,1,11,56,40,3,28,60,6,3,2,8,48,31,1,0,0,2,55,3
310120,0,1,1,3,4,0,0,0,20,1,5,0,5,3,9,0,0,0,0,20,2,3,3,1,0,12,20,5,15,3,0,3,4,0,12,0,0,2,17,18,6,8,22,2,2,5,6,11,6,1,0,0,1,4,0
310151,0,2,2,6,4,0,0,3,27,12,5,4,10,7,9,3,0,0,0,20,4,6,14,0,0,15,17,4,13,3,0,5,2,0,18,3,8,3,28,12,8,16,26,2,9,9,6,16,5,2,0,0,3,12,1
320100,0,5,7,19,1,0,1,1,48,56,10,8,8,0,34,33,0,0,59,62,7,11,13,2,20,15,15,10,28,45,1,11,38,0,39,2,13,5,70,30,39,17,59,19,2,2,10,33,29,16,6,16,1,34,1
320200,0,5,10,59,11,0,12,15,91,55,15,17,32,13,93,53,0,3,23,87,2,11,55,8,21,56,85,29,45,24,0,24,69,0,61,0,23,21,98,82,40,60,96,16,5,9,33,78,63,11,0,0,24,87,9
320500,4,30,26,129,142,0,17,37,625,176,34,26,51,123,243,107,0,0,104,423,16,79,168,9,26,161,349,85,205,283,3,82,330,0,354,8,127,53,622,470,157,189,615,35,35,25,69,230,156,6,0,0,56,212,57
320600,0,1,0,1,2,0,1,3,19,6,0,3,11,0,2,4,0,0,14,14,1,1,11,0,2,6,7,5,4,4,1,0,10,0,8,1,12,3,18,5,8,10,13,1,0,6,2,6,2,6,1,0,1,5,0
330100,42,35,66,206,7,0,10,27,314,103,114,25,102,62,223,56,0,108,11,228,47,68,48,15,44,193,171,106,227,230,1,99,276,0,214,18,96,80,390,169,27,221,322,136,55,104,77,263,199,37,2,27,28,241,27
330200,1,6,2,23,3,0,0,6,52,18,14,2,9,10,31,0,0,0,0,19,11,11,15,2,9,37,36,11,33,12,3,5,39,0,25,3,18,5,65,29,10,29,46,16,11,8,16,35,30,0,0,0,2,24,3
350100,0,1,1,5,1,0,0,3,41,3,11,2,0,0,14,0,0,0,0,10,2,8,1,0,4,43,16,3,34,28,1,0,23,0,26,4,9,0,51,23,3,0,27,23,16,7,21,35,17,0,0,2,0,9,0
361100,0,0,0,11,1,0,0,0,34,23,2,1,8,0,3,0,0,0,0,1,4,0,8,0,21,21,10,9,30,15,2,3,33,0,34,5,10,0,38,13,1,11,25,4,1,1,10,11,2,7,2,9,0,7,1
370200,0,6,5,7,8,2,6,6,13,7,4,2,6,11,11,5,0,0,12,38,6,13,9,2,10,17,3,2,7,0,0,9,14,0,29,0,10,5,28,4,5,18,12,3,5,7,1,8,2,0,0,0,5,16,0
