COUNTRY CODE	STATE CODE	COUNTY CODE	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER
CN	CN-44		L10009586	H	23.1812831	113.3898068	2020-05-16	10:29:00	obs1504037	S69139439	Traveling	P22	240	0.720		2	1	G5339569
CN	CN-44		L10009586	H	23.1812831	113.3898068	2020-03-12	13:00:00	obs1151451	S65735444	Traveling	P22	240	5.000		1	1	
CN	CN-44		L10009586	H	23.1812831	113.3898068	2020-03-24	14:00:00	obs1151451	S66196728	Traveling	P22	180	5.000		1	1	
CN	CN-44		L10009586	H	23.1812831	113.3898068	2020-03-02	17:10:00	obs1475170	S65352961	Traveling	P22	120	1.440		2	1	
CN	CN-44		L10009586	H	23.1812831	113.3898068	2020-05-10	08:01:00	obs1475170	S68772953	Traveling	P22	216	1.290		4	1	
CN	CN-44		L10009586	H	23.1812831	113.3898068	2020-05-16	10:29:00	obs1504765	S69124878	Traveling	P22	240	0.720		2	1	G5339569
CN	CN-44		L10009586	H	23.1812831	113.3898068	2020-03-29	09:53:00	obs1475170	S66346483	Traveling	P22	157	0.210		2	1	
CN	CN-44		L10009586	H	23.1812831	113.3898068	2020-03-15	13:00:00	obs1504765	S65811444	Traveling	P22	300	5.000		1	1	
CN	CN-51		L10016450	P	29.3266470	105.2984740	2020-05-07	06:40:00	obs996991	S68522613	Traveling	P22	83	2.921		1	1	
CN	CN-51		L10016450	P	29.3266470	105.2984740	2020-04-08	09:00:00	obs996991	S66802837	Stationary	P21	60			1	1	
CN	CN-31		L10016773	P	30.7199580	121.3604180	2020-04-11	13:53:00	obs642355	S66982632	Traveling	P22	101	3.817		1	1	
CN	CN-31		L10016773	P	30.7199580	121.3604180	2020-05-09	13:55:00	obs642355	S68645630	Traveling	P22	60	5.000		1	1	
CN	CN-13		L10060710	P	39.0695579	118.2109124	2019-05-28	06:25:00	obs799391	S60808957	Stationary	P21	40			1	1	
CN	CN-13		L10060727	P	39.0841021	118.2002104	2019-05-30	10:41:00	obs799391	S60809013	Stationary	P21	4			1	1	
CN	CN-13		L10060729	P	39.0871043	118.1950288	2019-05-28	05:20:00	obs799391	S60809020	Stationary	P21	13			1	1	
CN	CN-23		L10064734	H	45.7773820	126.6230850	2018-05-28	15:00:00	obs349983	S46114681	Traveling	P22	60	2.000		1	1	
CN	CN-61		L10068037	P	33.4680200	109.1856000	2020-05-09	16:00:00	obs719857	S68793546	Stationary	P21	120			1	1	
CN	CN-65		L10083361	P	45.5813675	84.8827529	2020-05-12	09:00:00	obs804722	S68906076	Traveling	P22	120	2.000		1	1	
CN	CN-33		L10088341	P	31.0978640	119.9449128	2020-03-27	13:58:00	obs522645	S66269007	Traveling	P22	75	2.600		2	1	
CN	CN-33		L10088341	P	31.0978640	119.9449128	2020-03-28	08:05:00	obs522645	S66306779	Traveling	P22	45	2.000		3	1	
CN	CN-33		L10088341	P	31.0978640	119.9449128	2020-05-26	09:29:00	obs522645	S69668451	Traveling	P22	80	3.700		2	1	
