COUNTRY CODE	STATE CODE	COUNTY CODE	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER
CN	CN-33		L4285156	H	30.2976478	119.1221702	2021-04-25	13:30:00	obsr1605013	S86306752	Traveling	P22	210	2.000		4	1	
CN	CN-44		L4285292	H	24.7110478	114.1369844	2021-03-28	10:15:00	obsr1352852	S84239754	Stationary	P21	10			2	1	
CN	CN-32		L4285214	H	32.0622099	118.5519648	2021-05-29	14:50:00	obsr1177749	S89248695	Traveling	P22	101	4.000		4	1	G6810192
CN	CN-32		L4285214	H	32.0622099	118.5519648	2021-05-02	13:30:00	obsr1936383	S86970977	Traveling	P22	66	2.582		3	1	G6641047
CN	CN-33		L4285067	H	30.3578927	120.4429865	2021-03-13	07:50:00	obsr1632975	S83288242	Traveling	P22	60	3.000		3	1	
CN	CN-33		L4285067	H	30.3578927	120.4429865	2021-03-13	08:09:00	obsr1893902	S83291499	Stationary	P21	30			1	1	
CN	CN-33		L4285160	H	27.8245788	120.8687926	2021-04-17	16:08:00	obsr2109197	S85698897	Stationary	P21	3			1	1	
CN	CN-32		L4285214	H	32.0622099	118.5519648	2021-05-28	13:31:00	obsr1488144	S89121986	Traveling	P22	123	2.730		1	1	
CN	CN-32		L4285214	H	32.0622099	118.5519648	2021-05-28	09:38:00	obsr1488144	S89117587	Traveling	P22	144	4.150		1	1	
CN	CN-44		L4639483	H	23.0740860	113.3224565	2021-04-22	17:39:00	obsr1871665	S86611994	Traveling	P22	89	3.794		1	1	
CN	CN-44		L4639483	H	23.0740860	113.3224565	2021-05-05	10:51:00	obsr3070838	S142712443	Traveling	P22	118	2.800		2	1	
CN	CN-12		L4655265	H	39.1109319	117.1691708	2021-04-28	12:16:00	obsr2403968	S86545584	Traveling	P22	116	2.000		2	1	
CN	CN-12		L4655270	H	39.0871487	117.1613854	2021-05-20	09:00:00	obsr929368	S88573767	Traveling	P22	224	4.640		2	1	
CN	CN-51		L4661753	H	31.0283980	103.1664210	2021-05-19	06:57:00	obsr969812	S88499758	Traveling	P22	120	2.000		6	1	
CN	CN-51		L4661753	H	31.0283980	103.1664210	2021-05-29	10:10:00	obsr2091268	S90162099	Traveling	P22	60	0.600		5	1	G7499079
CN	CN-51		L4661753	H	31.0283980	103.1664210	2021-05-29	10:10:00	obsr890643	S98542120	Traveling	P22	60	0.600		5	1	G7499079
CN	CN-44		L4672350	H	23.1822035	113.3688319	2021-03-18	16:46:00	obsr1228063	S83603235	Traveling	P22	54	2.490		1	1	
